,key_0,vacancy_id,salary_from,salary_to,employer_id,name_hh,experience_id,specialization_id,professionalrole_id,geometry,avg_salary,flag,inn,okved,okveds,if_target_okveds
0,29,29028116,40265,63350,3127,мегафон,noExperience,"[1.172, 1.211, 1.295, 1.82, 25.381, 25.386]",121,POINT (347354.22918669216 6647688.249740892),51808,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
1,71,31460069,90000,134270,2061860,panoramik,between1And3,"[1.475, 3.26, 1.221, 1.25]",96,POINT (346680.5872640893 6648579.436956357),112135,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
2,174,33608231,90000,115000,1795976,университет итмо,between1And3,"[1.221, 14.91]",10,POINT (348986.42976443644 6648116.217735379),102500,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
3,177,33636277,100000,155000,2061860,panoramik,between1And3,"[1.475, 1.221]",96,POINT (346680.5872640893 6648579.436956357),127500,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
4,274,34076378,65250,120000,1795976,университет итмо,between1And3,"[1.27, 1.221, 14.91]",96,POINT (348907.51617066195 6648299.835956305),92625,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
5,275,34076417,65250,115000,1795976,университет итмо,between1And3,"[1.221, 14.91]",10,POINT (348986.42976443644 6648116.217735379),90125,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
6,429,34729472,35000,50783,1838,ventra,noExperience,"[18.174, 29.581, 29.556, 18.245, 20.49, 29.517]",85,POINT (347150.3475088052 6649356.263925704),42892,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
7,599,35441271,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
8,654,35607956,35000,50783,1838,ventra,noExperience,"[18.174, 29.581, 29.556, 18.245, 20.49, 29.517]",85,POINT (347150.3475088052 6649356.263925704),42892,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
9,735,35784601,65250,87000,1795976,университет итмо,between1And3,[1.221],96,POINT (348986.42976443644 6648116.217735379),76125,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
11,902,35978761,35000,50783,1838,ventra,noExperience,"[18.174, 29.581, 29.556, 18.245, 20.49, 29.517]",49,POINT (347150.3475088052 6649356.263925704),42892,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
12,933,36007262,27000,37250,3440785,нордфил,noExperience,"[15.237, 15.389, 29.541, 29.512, 29.556, 29.588]",131,POINT (346813.78476300347 6647902.60381215),32125,True,7801319507,28.29.13,"['17.21', '17.22', '17.29', '22.21', '22.29', '25.61', '25.62', '25.99', '28.25.14', '28.29', '33.12', '33.20', '35.12', '35.14', '35.30', '36.00', '37.00', '45.20', '45.31', '45.32', '46.69', '46.90', '52.10', '68.20', '68.32', '77.33', '77.39', '81.10', '81.21', '28.29.13']",False
13,959,36023479,80000,160000,936465,агент умный полис,between1And3,"[1.395, 1.9, 1.172, 1.221]",96,POINT (347427.9447704025 6648913.752493586),120000,True,7801624934,72.19,"['62.01', '62.02', '62.09', '63.11', '63.11.1', '70.22', '73.11', '73.12', '73.20', '95.11', '72.19']",True
15,1172,36174619,104400,156600,4504791,инноскрипта интернешнл,between3And6,[1.221],96,POINT (346028.37459815585 6649880.066937548),130500,True,7841087700,62.01,"['58.29', '62.02', '62.03', '62.09', '62.01']",True
16,1492,36319145,50000,70000,1838,ventra,between3And6,"[18.81, 18.142, 18.431, 25.381, 29.552]",48,POINT (347150.3475088049 6649356.263925704),60000,True,7709307193,70.22,"['18.12', '41.20', '43.21', '43.22', '43.29', '43.31', '43.32', '43.32.1', '43.32.2', '43.32.3', '43.33', '43.34', '43.34.1', '43.34.2', '43.39', '43.91', '43.99', '43.99.1', '43.99.2', '43.99.3', '43.99.4', '43.99.5', '43.99.6', '43.99.7', '43.99.9', '46.51.2', '47.41.2', '53.20.3', '62.01', '62.09', '63.11', '63.11.1', '64.19', '64.99', '69.10', '69.20', '71.20', '72.20', '73.11', '73.20.1', '74.30', '77.40', '78.10', '82.19', '82.92', '82.99', '85.42.9', '95.11', '70.22']",True
17,1581,36340397,41125,64042,3127,мегафон,noExperience,"[1.203, 1.295, 1.82, 1.27, 1.273, 1.89]",48,POINT (347306.87182273716 6649034.3738677995),52583,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
18,1670,36369411,38267,55391,1299115,цкб «айсберг»,noExperience,"[18.568, 18.81, 18.373]",48,POINT (347111.5646121296 6646729.733867309),46829,True,7801041996,,,False
19,1918,36438977,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
25,2759,36709347,50325,147900,4456185,шесть сезонов,noExperience,"[1.221, 1.9, 1.1, 1.82]",96,POINT (347158.6142555112 6648645.035627475),99112,True,7801671733,56.10,"['10.11', '10.12', '10.13', '10.13.9', '10.20', '10.31', '10.32', '10.39', '10.39.9', '10.41', '10.42', '10.51', '10.52', '10.61', '10.62', '10.71', '10.72', '10.73', '10.82', '10.83', '10.84', '10.85', '10.86', '10.89', '10.89.7', '10.89.9', '47.11', '47.81', '47.91', '47.91.2', '47.99', '47.99.1', '52.10', '53.20.32', '53.20.39', '56.10.21', '56.29.1', '68.20', '68.32.2', '70.22', '71.12.66', '73.20.2', '74.10', '77.39', '77.39.29', '81.10', '82.11', '82.30', '82.92', '90.04.2', '93.29', '93.29.3', '56.10']",True
27,2858,36742139,42500,75625,2183546,неотрейд,noExperience,"[17.572, 18.81, 18.451, 17.625]",119,POINT (346552.478012578 6646800.169720602),59062,True,7720865755,70.22,"['46.11', '46.12', '46.13', '46.14', '46.16', '46.17', '46.18', '46.52', '46.61', '46.63', '46.69', '46.71', '46.72', '46.75', '46.90', '64.99', '64.99.1', '64.99.3', '66.30.9', '68.10', '68.10.23', '68.20', '73.20', '82.99', '70.22']",False
30,3449,36905198,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
32,3792,36988101,37400,46320,1363143,институт авиационного приборостроения навигатор,noExperience,"[18.13, 18.245]",48,POINT (344957.22487106884 6646892.815923921),41860,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
36,4094,37060729,39175,61258,3127,мегафон,noExperience,"[1.172, 1.295, 1.82, 1.277, 1.27, 15.93]",46,POINT (347354.22918669216 6647688.249740892),50217,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
37,4267,37110340,20000,45850,3440785,нордфил,noExperience,"[15.75, 15.237, 17.751, 22.757, 22.175, 29.541]",130,POINT (346813.78476300347 6647902.60381215),32925,True,7801319507,28.29.13,"['17.21', '17.22', '17.29', '22.21', '22.29', '25.61', '25.62', '25.99', '28.25.14', '28.29', '33.12', '33.20', '35.12', '35.14', '35.30', '36.00', '37.00', '45.20', '45.31', '45.32', '46.69', '46.90', '52.10', '68.20', '68.32', '77.33', '77.39', '81.10', '81.21', '28.29.13']",False
38,4990,37319196,30000,37500,19886,балтийский завод,noExperience,[15.237],115,POINT (346763.17147178465 6646511.3574462915),33750,True,7830001910,30.11,"['16.10', '16.10.9', '24.52', '24.54', '25.29', '25.30', '25.61', '25.62', '25.99', '27.11', '28.14', '28.29', '31.09', '33.15', '35.30', '49.4', '52.10', '55.90', '56.29', '68.20', '71.1', '71.12.5', '71.12.6', '71.20', '85.30', '85.42', '86.21', '86.23', '30.11']",True
39,5022,37326989,98000,146100,2061860,panoramik,between1And3,"[1.221, 1.82, 1.536, 1.272, 1.5]",96,POINT (346680.5872640893 6648579.436956357),122050,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
41,5384,37416609,39150,128812,41144,аскон,between1And3,"[1.327, 1.82, 1.42, 1.274]",121,POINT (347109.44283279823 6649217.808618148),83981,True,7809009923,70.10.2,"['46.90', '47.41', '62.01', '62.02', '62.09', '64.20', '69.10', '69.20', '70.10.1', '70.22', '73.11', '70.10.2']",True
43,5645,37479158,37400,46320,1363143,институт авиационного приборостроения навигатор,noExperience,"[18.13, 18.245]",48,POINT (344957.22487106884 6646892.815923921),41860,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
45,6921,37806708,100000,155000,2061860,panoramik,between1And3,"[1.475, 1.221]",96,POINT (346680.5872640893 6648579.436956357),127500,True,9719002099,25.11,"['25.61', '25.62', '25.99', '41.20', '43.39', '43.99.5', '46.73.6', '46.90', '47.52.7', '47.52.73', '47.99', '49.41', '49.42', '71.11.1', '72.19', '77.32', '25.11']",True
46,6946,37816597,52200,69600,560944,юмасофт,noExperience,"[1.221, 1.1, 1.9]",96,POINT (347633.8560529934 6648887.749700133),60900,True,7838356569,51.70,"['51.18.27', '52.12', '74.14', '51.70']",True
52,8048,38121934,40800,56150,65670,кронштадт,between1And3,"[26.473, 18.81, 18.373]",66,POINT (347960.3039011727 6648860.69811456),48475,True,7808035536,30.30,"['26.51', '26.51.2', '28.99.3', '30.30.1', '30.30.11', '30.30.14', '30.30.2', '30.30.3', '30.30.32', '30.30.5', '33.16', '62.01', '62.02', '63.11', '63.11.1', '68.20.2', '71.1', '71.11.1', '71.12.4', '71.12.44', '71.12.5', '71.12.6', '72.19', '77.35', '84.22', '30.30']",True
53,8100,38134698,104400,156600,4504791,инноскрипта интернешнл,between1And3,"[1.221, 1.536, 1.89, 1.5]",96,POINT (346028.37459815585 6649880.066937548),130500,True,7841087700,62.01,"['58.29', '62.02', '62.03', '62.09', '62.01']",True
55,8239,38174832,78940,130100,3127,мегафон,between1And3,"[1.27, 1.203, 1.295, 1.82, 1.221]",96,POINT (347306.87182273716 6649034.3738677995),104520,True,7812014560,61.10,"['46.51.2', '46.90', '61.20', '62.01', '62.02', '62.03', '62.09', '63.11', '63.11.1', '63.99.1', '69.10', '69.20', '70.22', '71.12.5', '71.12.51', '71.12.53', '71.12.54', '71.12.55', '72.19', '74.90.5', '61.10']",True
56,9517,38566177,37400,46320,1363143,институт авиационного приборостроения навигатор,noExperience,"[18.13, 18.245]",48,POINT (344957.22487106884 6646892.815923921),41860,True,7801004507,72.19,"['26.30.17', '26.40', '26.51.2', '46.43.2', '46.43.3', '46.51', '46.69.2', '46.69.5', '46.69.9', '47.41', '47.42', '47.43', '47.54', '70.22', '73.11', '73.20.1', '82.99', '95.21', '95.22.1', '72.19']",True
58,10268,38813736,104400,156600,4504791,инноскрипта интернешнл,between1And3,"[1.221, 1.536, 1.5]",96,POINT (346028.37459815585 6649880.066937548),130500,True,7841087700,62.01,"['58.29', '62.02', '62.03', '62.09', '62.01']",True
60,10350,38844657,87000,90000,2705449,онлайнсим,noExperience,[1.221],96,POINT (345625.4050858801 6646882.470847933),88500,True,7801304395,62.09,"['46.90', '47.19', '47.7', '47.91.2', '47.91.3', '47.91.4', '61.10.1', '61.10.9', '62.01', '62.02', '63.11', '63.11.1', '73.11', '82.99', '95.11', '62.09']",True
61,10406,38862585,60192,76825,2501,"еврохим, минерально-химическая компания",between1And3,"[18.81, 18.57, 20.325, 20.287, 20.83, 20.233]",48,POINT (346703.1408909039 6647136.653251376),68508,True,7721230290,70.10.1,"['01.61', '07.29.3', '08.12', '08.93', '10.89.9', '20.13', '20.15', '20.51', '20.59.5', '21.20', '26.51', '27.90', '30.20.9', '33.12', '33.13', '33.17', '35.11', '35.2', '35.30.5', '36.00', '38.32.5', '41.20', '42.11', '42.12', '42.13', '42.99', '43.11', '43.12.1', '43.13', '43.21', '46.11.34', '46.14', '46.19', '46.21.14', '46.75', '46.75.1', '46.76.1', '46.90', '47.30', '49.20', '49.3', '49.4', '49.41', '50.10', '50.20', '50.30', '50.40', '51.21', '52.10', '52.21.1', '52.24', '52.29', '53.20.1', '55.90', '62.0', '62.01', '62.02', '62.09', '63.1', '63.11', '63.11.1', '64.92.2', '66.2', '68.10.2', '68.10.22', '69.10', '69.20.2', '70.10.2', '70.22', '71.11', '71.11.1', '71.12.3', '71.12.42', '71.20', '71.20.1', '72.19', '73.11', '73.20.1', '74.30', '80.10', '80.20', '80.30', '81.29.9', '82.19', '82.92', '82.99', '85.30', '85.41.9', '85.42.9', '86.10', '86.90.4', '88.10', '95.1', '95.11', '70.10.1']",True
63,10547,38906769,87000,104400,1795976,университет итмо,between1And3,[1.221],96,POINT (348986.42976443644 6648116.217735379),95700,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
65,11270,39630044,163125,250000,41144,аскон,between3And6,"[1.221, 1.82]",96,POINT (347109.44283279823 6649217.808618148),206562,True,7809009923,70.10.2,"['46.90', '47.41', '62.01', '62.02', '62.09', '64.20', '69.10', '69.20', '70.10.1', '70.22', '73.11', '70.10.2']",True
67,11323,39868029,100000,150000,824009,220 вольт,between1And3,"[1.221, 1.1, 1.9]",96,POINT (347311.76796744857 6647646.29823463),125000,True,0264054954,46.69.5,"['22.2', '25.1', '25.29', '25.50', '25.61', '25.62', '25.93.1', '25.94', '25.99.29', '27.12', '27.32', '27.40', '33.14', '33.20', '43.21', '46.15.3', '46.18', '46.43', '46.69.9', '46.9', '47.25.2', '47.42', '47.59.9', '61.1', '95.22.1', '46.69.5']",True
70,11435,40232679,100000,150000,1547864,muzlab,between1And3,[1.221],96,POINT (346325.4196543973 6649269.76924727),125000,True,7718600670,70.31.12,"['22.14', '22.31', '36.30', '51.47.31', '52.45.5', '52.61.2', '52.74', '70.32.2', '70.31.12']",False
74,11880,41099265,87000,104400,1795976,университет итмо,between1And3,[1.221],96,POINT (348986.42976443644 6648116.217735379),95700,True,7813045547,85.22,"['41.20', '58.13', '58.14', '61.10.4', '61.10.9', '62.09', '71.1', '71.12.5', '71.12.6', '72.19', '72.20', '82.30', '85.21', '85.23', '85.41.9', '91.02', '85.22']",True
76,11964,41404624,87000,191400,3882315,ит,between1And3,[1.221],96,POINT (348050.3618039287 6648008.312162576),139200,True,5018139517,72.19,"['09.10', '25.61', '26.11', '26.51', '32.50', '33.20', '55.10', '56.29', '62.01', '62.02', '62.09', '63.11', '63.11.1', '71.1', '71.12.5', '71.12.6', '95.11', '72.19']",True
77,12060,41594306,80000,100000,2333907,нпо акваинж,between3And6,"[25.381, 18.81, 20.83]",49,POINT (344960.4093300617 6649759.062501787),90000,True,7801618680,71.12,"['37.00', '41.20', '43.91', '43.99', '46.69', '68.32', '71.1', '71.12.5', '71.12.6', '71.12']",True
78,12143,41780749,100000,150000,4482717,8й мост,between1And3,[1.221],96,POINT (348032.2652671984 6648203.499102384),125000,True,3906384231,62.01,"['62.02', '62.03', '62.09', '63.11.1', '62.01']",True
79,12240,42028607,69600,156600,1737940,эшелон-северо-запад,between1And3,"[1.221, 1.89]",96,POINT (347407.9225370855 6648768.85729341),113100,True,7801601694,71.20,"['26.11', '26.20', '26.40', '26.51', '33.14', '33.20', '43.2', '46.90', '47.78.9', '61.10', '62.01', '62.02', '62.09', '63.11', '63.11.1', '71.12.12', '71.12.6', '72.19', '82.99', '84.22', '85.23', '85.42', '85.42.9', '71.20']",True
81,12424,42412938,60900,104400,3920737,мк-бизнес онлайн,between1And3,[1.221],96,POINT (346849.1981600015 6646669.68254719),82650,True,3906375519,62.01,"['62.02', '62.09', '63.11', '69.10', '69.20', '70.21', '70.22', '71.12.6', '73.11', '82.99', '62.01']",True
82,12501,42563870,178688,200000,5208976,сторие рус,between3And6,"[1.221, 1.474, 1.3, 1.82]",96,POINT (346028.37459815585 6649880.066937548),189344,True,7801695029,62.01,"['62.02', '62.03', '62.09', '62.01']",True
83,12506,42574816,150000,220000,120618,etna,between3And6,[1.221],96,POINT (346710.0959673553 6647134.357936357),185000,True,5258000029,25.93.1,"['01.41', '01.42', '24.32', '25.94', '45.32', '47.11', '56.10', '56.10.1', '56.10.3', '56.29', '68.32.1', '85.11', '91.01', '25.93.1']",False
84,12607,42784911,147900,174000,120618,etna,between3And6,"[1.221, 1.273]",96,POINT (346710.0959673553 6647134.357936357),160950,True,5258000029,25.93.1,"['01.41', '01.42', '24.32', '25.94', '45.32', '47.11', '56.10', '56.10.1', '56.10.3', '56.29', '68.32.1', '85.11', '91.01', '25.93.1']",False
86,12836,43308096,100000,150000,936465,агент умный полис,between1And3,[1.221],96,POINT (347427.9447704025 6648913.752493586),125000,True,7801624934,72.19,"['62.01', '62.02', '62.09', '63.11', '63.11.1', '70.22', '73.11', '73.12', '73.20', '95.11', '72.19']",True
87,12881,43411747,60900,104400,3920737,мк-бизнес онлайн,between1And3,[1.221],96,POINT (346849.1981600015 6646669.68254719),82650,True,3906375519,62.01,"['62.02', '62.09', '63.11', '69.10', '69.20', '70.21', '70.22', '71.12.6', '73.11', '82.99', '62.01']",True
88,12898,43437993,104400,226200,3882315,ит,between1And3,[1.221],96,POINT (348050.3618039287 6648008.312162576),165300,True,5018139517,72.19,"['09.10', '25.61', '26.11', '26.51', '32.50', '33.20', '55.10', '56.29', '62.01', '62.02', '62.09', '63.11', '63.11.1', '71.1', '71.12.5', '71.12.6', '95.11', '72.19']",True
